Date,Open,High,Low,Close,Adj Close,Volume
2022-03-17,2.813511,2.844526,2.779291,2.778141,2.778141,65882769
2022-03-18,2.777642,2.867747,2.726508,2.855378,2.855378,73528030
2022-03-19,2.855039,2.971783,2.850390,2.938722,2.938722,93028186
2022-03-20,2.938711,3.090143,2.901845,3.013316,3.013316,196017667
2022-03-21,3.013398,3.021448,2.907266,2.945074,2.945074,104619212
2022-03-22,2.945069,3.062251,2.935106,2.991353,2.991353,106673745
2022-03-23,2.992124,3.233732,2.988933,3.143240,3.143240,185641343
2022-03-24,3.142961,3.234946,3.118103,3.204416,3.204416,111031294
2022-03-25,3.204661,3.258738,3.123649,3.199903,3.199903,101500565
2022-03-26,3.200013,3.444524,3.175958,3.330564,3.330564,155280252
2022-03-27,3.330726,3.513914,3.327640,3.513892,3.513892,113594579
2022-03-28,3.514532,3.617732,3.371690,3.387154,3.387154,140455064
2022-03-29,3.383519,3.520813,3.379823,3.423504,3.423504,134749009
2022-03-30,3.422753,3.478443,3.311663,3.433558,3.433558,113052974
2022-03-31,3.432702,3.602928,3.321886,3.358628,3.358628,185979920
2022-04-01,3.359829,3.597280,3.218533,3.538807,3.538807,150543300
2022-04-02,3.539158,3.733074,3.525296,3.533785,3.533785,200130460
2022-04-03,3.533159,3.677350,3.533159,3.661999,3.661999,140928704
2022-04-04,3.660784,3.660784,3.403642,3.550123,3.550123,115640887
2022-04-05,3.550308,3.581056,3.362616,3.366691,3.366691,85081696
2022-04-06,3.366519,3.367531,2.981691,3.002076,3.002076,130270457
2022-04-07,3.004608,3.153149,2.987695,3.126430,3.126430,81735195
2022-04-08,3.125655,3.147210,2.891366,2.911510,2.911510,91711124
2022-04-09,2.911537,2.947990,2.836561,2.947305,2.947305,79895770
2022-04-10,2.947409,3.018642,2.882964,2.882964,2.882964,61987615
2022-04-11,2.880046,2.884431,2.714035,2.722913,2.722913,104406288
2022-04-12,2.723675,2.934125,2.715845,2.832382,2.832382,98891190
2022-04-13,2.832255,2.933006,2.812918,2.915361,2.915361,57687860
2022-04-14,2.915063,3.003729,2.836419,2.863551,2.863551,60013971
2022-04-15,2.863777,2.992734,2.863777,2.954217,2.954217,77243359
2022-04-16,2.954054,3.044307,2.928168,3.036630,3.036630,53920643
2022-04-17,3.036235,3.043550,2.856241,2.861874,2.861874,59257036
